category,price,discount,views,cart_adds,rating,device,purchased
Beauty,119.26,0.31,2,0,3.8,Mobile,0
Clothing,550.86,0.27,2,0,2.5,Mobile,0
Books,352.12,0.46,5,0,4.4,Desktop,1
Home,144.07,0.4,1,0,4.5,Tablet,0
Beauty,319.62,0.29,6,2,3.4,Tablet,1
Home,906.94,0.31,3,0,4.5,Mobile,0
Books,789.65,0.08,3,1,4.4,Tablet,0
Home,115.08,0.42,2,0,3.1,Mobile,0
Books,695.48,0.27,2,1,4.0,Tablet,0
Books,157.58,0.29,2,1,4.8,Mobile,0
Clothing,772.39,0.19,1,0,4.6,Tablet,0
Home,984.92,0.42,4,1,2.6,Mobile,1
Electronics,9.61,0.17,4,2,3.6,Tablet,1
Books,145.15,0.09,4,1,2.5,Mobile,0
Electronics,961.26,0.07,1,1,3.8,Mobile,0
Books,213.86,0.45,1,0,3.7,Tablet,1
Books,456.02,0.26,3,0,4.7,Tablet,0
Clothing,274.39,0.32,1,0,4.3,Mobile,0
Electronics,225.86,0.12,1,0,4.5,Tablet,0
Beauty,241.99,0.05,4,2,3.0,Tablet,1
Clothing,17.94,0.04,1,0,4.0,Desktop,0
Home,345.11,0.13,3,1,3.9,Desktop,0
Books,948.71,0.38,4,1,2.6,Desktop,0
Clothing,635.31,0.13,4,1,2.5,Desktop,0
Clothing,578.63,0.14,4,0,4.8,Desktop,0
Clothing,602.51,0.33,3,1,2.6,Desktop,0
Books,94.89,0.39,2,2,4.3,Tablet,0
Home,486.34,0.13,5,2,3.7,Mobile,1
Electronics,415.73,0.35,2,0,2.5,Tablet,0
Clothing,107.58,0.16,5,3,4.4,Tablet,0
Home,693.82,0.42,2,2,4.9,Tablet,1
Electronics,184.67,0.28,1,0,3.2,Desktop,0
Home,476.84,0.43,3,1,3.1,Mobile,1
Home,532.61,0.22,5,1,3.6,Desktop,0
Books,870.75,0.01,7,2,4.1,Tablet,0
Electronics,339.69,0.26,1,0,3.2,Desktop,0
Home,46.88,0.01,4,3,4.5,Tablet,0
Books,904.21,0.49,1,0,4.6,Desktop,0
Home,124.74,0.02,1,1,4.6,Mobile,1
Electronics,520.67,0.3,3,3,4.7,Tablet,1
Home,539.29,0.3,2,0,2.8,Mobile,1
Clothing,862.82,0.4,2,0,3.4,Tablet,0
Clothing,534.94,0.48,3,2,3.8,Tablet,0
Clothing,546.06,0.43,4,0,3.3,Mobile,0
Clothing,110.3,0.35,5,2,3.1,Tablet,1
Beauty,558.4,0.38,2,0,3.9,Tablet,0
Home,780.95,0.05,6,4,4.2,Desktop,0
Electronics,772.13,0.35,1,0,4.6,Desktop,0
Home,448.73,0.32,2,1,3.4,Tablet,1
Clothing,163.14,0.23,3,2,3.2,Desktop,0
Beauty,656.24,0.14,4,1,3.5,Mobile,0
Books,412.29,0.45,1,0,4.1,Desktop,0
Books,968.35,0.09,6,0,4.8,Tablet,0
Electronics,6.23,0.3,3,0,4.1,Mobile,0
Books,984.43,0.07,6,4,4.8,Tablet,0
Electronics,245.83,0.49,2,1,3.9,Desktop,1
Clothing,536.57,0.44,2,0,4.9,Desktop,0
Clothing,822.33,0.02,4,1,4.0,Mobile,0
Clothing,627.18,0.39,6,0,2.9,Desktop,1
Beauty,250.87,0.08,4,2,4.1,Tablet,1
Clothing,655.0,0.17,2,0,3.1,Desktop,1
Electronics,841.25,0.09,7,2,4.0,Desktop,0
Beauty,874.06,0.45,4,1,4.1,Tablet,1
Clothing,717.25,0.45,1,1,3.0,Mobile,1
Electronics,250.99,0.44,3,0,3.5,Mobile,0
Books,658.45,0.16,3,0,2.7,Desktop,0
Home,340.32,0.41,3,0,2.9,Mobile,0
Home,535.84,0.39,5,4,2.8,Mobile,0
Home,641.8,0.11,1,0,4.0,Desktop,0
Clothing,965.29,0.0,6,1,2.6,Mobile,1
Clothing,205.84,0.34,3,2,2.9,Desktop,0
Clothing,377.43,0.01,4,2,4.8,Mobile,1
Home,668.64,0.29,2,0,4.7,Mobile,0
Electronics,95.03,0.14,4,2,4.7,Tablet,1
Books,378.79,0.15,4,1,3.9,Mobile,1
Electronics,447.2,0.01,3,1,3.9,Desktop,0
Home,814.7,0.05,2,0,3.5,Tablet,0
Clothing,716.91,0.26,3,2,4.1,Tablet,1
Home,481.79,0.1,3,2,3.8,Desktop,0
Clothing,402.91,0.49,3,2,3.0,Tablet,1
Clothing,189.3,0.46,1,1,3.4,Mobile,0
Books,7.57,0.32,4,1,4.8,Mobile,1
Home,305.55,0.37,5,0,3.1,Desktop,0
Home,100.24,0.01,3,1,4.0,Desktop,1
Books,599.06,0.34,3,0,4.5,Desktop,1
Home,84.02,0.04,3,1,2.7,Mobile,0
Beauty,801.35,0.12,5,2,5.0,Desktop,0
Books,732.0,0.23,1,1,2.9,Tablet,0
Clothing,101.19,0.23,5,1,2.9,Mobile,0
Beauty,247.44,0.34,1,1,4.7,Mobile,0
Beauty,710.2,0.02,2,0,4.8,Mobile,0
Books,400.0,0.22,6,4,2.8,Desktop,0
Clothing,868.72,0.4,2,0,2.9,Desktop,0
Beauty,575.18,0.47,4,2,4.6,Tablet,0
Electronics,667.98,0.06,3,1,2.8,Mobile,0
Beauty,442.31,0.05,4,0,4.5,Desktop,1
Books,755.48,0.31,2,0,4.5,Desktop,1
Beauty,619.96,0.32,2,0,4.1,Desktop,0
Home,887.17,0.22,2,1,4.3,Desktop,0
Clothing,138.13,0.21,4,1,4.6,Mobile,0
Clothing,69.29,0.02,3,0,2.9,Desktop,0
Beauty,247.26,0.33,5,0,4.1,Mobile,0
Beauty,81.03,0.14,5,1,3.1,Mobile,1
Home,154.42,0.37,2,0,4.3,Mobile,0
Books,17.05,0.48,3,1,4.2,Tablet,1
Home,551.87,0.42,1,0,3.8,Mobile,0
Electronics,976.11,0.33,0,0,3.1,Desktop,0
Electronics,532.65,0.02,7,3,2.8,Tablet,1
Clothing,228.49,0.19,4,0,3.0,Desktop,1
Home,289.48,0.41,6,2,4.4,Tablet,1
Books,272.98,0.27,3,2,3.7,Tablet,0
Home,416.35,0.38,2,0,2.7,Tablet,0
Home,164.27,0.23,0,0,3.1,Mobile,0
Beauty,103.68,0.2,4,0,3.4,Mobile,0
Beauty,10.2,0.38,0,0,4.4,Desktop,0
Home,371.1,0.16,1,1,5.0,Tablet,1
Beauty,781.5,0.11,2,0,2.6,Desktop,0
Electronics,390.74,0.2,3,0,4.3,Desktop,0
Clothing,604.13,0.01,2,1,4.4,Desktop,0
Beauty,519.68,0.22,1,0,2.7,Mobile,0
Books,767.76,0.37,2,1,2.9,Tablet,0
Beauty,386.91,0.29,2,0,2.6,Mobile,0
Home,699.18,0.46,1,1,3.1,Mobile,0
Home,483.5,0.22,3,2,4.8,Mobile,1
Electronics,163.11,0.31,4,0,3.2,Tablet,1
Beauty,788.19,0.49,3,0,4.6,Tablet,1
Clothing,564.18,0.17,2,0,4.3,Tablet,0
Home,57.0,0.21,3,1,3.0,Mobile,0
Electronics,947.3,0.48,1,1,3.5,Mobile,0
Electronics,525.77,0.06,2,1,3.9,Desktop,1
Clothing,487.27,0.08,6,0,3.8,Tablet,0
Books,787.35,0.1,1,0,4.4,Desktop,1
Home,661.33,0.08,5,0,3.4,Mobile,0
Books,109.95,0.33,4,1,3.2,Mobile,0
Home,315.79,0.32,3,1,2.9,Tablet,1
Books,280.52,0.49,1,0,4.7,Tablet,1
Books,883.0,0.4,6,3,3.6,Tablet,1
Home,561.96,0.26,3,0,4.6,Desktop,0
Books,760.78,0.49,3,2,4.7,Desktop,1
Home,117.38,0.04,4,1,3.6,Desktop,0
Beauty,473.93,0.49,3,1,2.7,Tablet,1
Beauty,231.04,0.42,4,0,2.6,Mobile,0
Beauty,938.61,0.44,6,0,3.6,Desktop,0
Home,548.91,0.19,2,0,4.3,Desktop,0
Electronics,295.76,0.46,2,2,4.3,Tablet,0
Electronics,285.11,0.44,2,0,3.1,Mobile,0
Electronics,825.41,0.04,3,2,4.7,Mobile,0
Electronics,989.08,0.31,4,2,3.9,Mobile,1
Beauty,224.12,0.24,2,1,2.7,Mobile,1
Beauty,911.12,0.23,1,0,2.9,Mobile,0
Beauty,789.86,0.32,2,1,4.9,Desktop,1
Books,744.88,0.25,1,0,3.4,Desktop,0
Books,280.43,0.49,2,1,3.2,Mobile,0
Electronics,12.63,0.11,0,0,2.8,Desktop,0
Home,574.19,0.26,3,1,2.8,Tablet,0
Electronics,34.52,0.34,0,0,3.6,Tablet,0
Electronics,392.92,0.36,4,2,4.9,Mobile,1
Books,7.09,0.36,1,1,3.1,Desktop,0
Beauty,372.21,0.06,2,0,3.4,Tablet,0
Home,680.28,0.18,1,0,4.8,Mobile,1
Books,725.35,0.06,2,0,2.5,Desktop,0
Books,488.57,0.29,0,0,2.8,Mobile,0
Electronics,730.53,0.33,4,1,4.5,Desktop,1
Books,858.27,0.46,3,1,4.3,Mobile,0
Clothing,171.03,0.22,2,0,2.6,Desktop,0
Books,388.95,0.4,3,2,4.0,Desktop,1
Beauty,171.52,0.49,3,0,3.0,Tablet,0
Clothing,398.46,0.16,2,1,3.4,Mobile,0
Beauty,994.88,0.27,2,0,4.9,Desktop,0
Home,480.49,0.27,1,1,3.4,Desktop,1
Books,181.29,0.25,4,1,5.0,Mobile,0
Books,211.27,0.39,4,2,2.9,Mobile,1
Beauty,907.41,0.07,4,2,3.9,Mobile,0
Beauty,469.45,0.02,3,1,3.7,Tablet,1
Books,207.21,0.38,4,3,3.5,Tablet,0
Beauty,807.56,0.24,2,1,3.2,Tablet,0
Books,451.08,0.26,2,0,4.2,Tablet,0
Clothing,138.76,0.15,3,2,2.5,Tablet,1
Clothing,829.33,0.15,0,0,4.3,Mobile,0
Home,10.64,0.47,4,1,4.3,Desktop,1
Books,352.08,0.06,4,1,2.7,Tablet,0
Beauty,708.55,0.03,1,0,3.1,Tablet,0
Books,26.92,0.29,3,0,3.5,Mobile,1
Electronics,721.19,0.43,5,1,3.3,Tablet,0
Beauty,147.16,0.39,2,0,4.1,Tablet,0
Electronics,321.0,0.0,1,0,4.3,Tablet,0
Electronics,343.67,0.47,3,1,4.7,Desktop,0
Home,425.27,0.19,3,1,4.8,Mobile,0
Clothing,143.42,0.13,2,0,4.2,Mobile,0
Home,478.03,0.32,3,2,3.7,Desktop,0
Books,372.96,0.03,4,2,3.7,Desktop,1
Home,755.25,0.02,2,1,4.9,Mobile,0
Electronics,890.76,0.14,1,0,3.8,Tablet,0
Home,382.2,0.17,0,0,2.8,Desktop,1
Books,407.27,0.27,1,0,4.9,Desktop,0
Beauty,457.64,0.13,1,1,3.9,Desktop,0
Electronics,124.61,0.13,0,0,3.2,Mobile,0
Beauty,643.65,0.29,7,1,3.0,Tablet,1
Books,711.58,0.47,2,1,4.0,Mobile,1
Beauty,546.76,0.48,1,0,3.0,Desktop,0
Electronics,782.42,0.29,3,1,3.1,Mobile,0
Beauty,541.12,0.03,5,1,3.3,Desktop,1
Home,949.33,0.48,4,1,3.9,Desktop,0
Beauty,898.19,0.34,3,1,2.8,Tablet,0
Books,981.24,0.28,3,1,5.0,Tablet,0
Home,943.98,0.48,4,2,3.1,Mobile,0
Electronics,166.89,0.28,2,0,3.4,Desktop,0
Home,225.97,0.16,3,0,3.7,Mobile,1
Beauty,292.44,0.2,2,1,3.4,Mobile,1
Books,951.17,0.29,3,1,4.1,Desktop,0
Clothing,918.65,0.05,2,0,2.9,Desktop,0
Electronics,950.71,0.29,4,1,4.7,Tablet,0
Home,422.35,0.39,2,1,3.0,Tablet,0
Beauty,637.86,0.18,3,2,2.6,Desktop,0
Clothing,825.66,0.26,1,0,4.8,Tablet,0
Electronics,5.01,0.21,1,1,3.1,Desktop,1
Beauty,234.26,0.0,6,1,3.3,Mobile,1
Books,185.71,0.19,7,2,4.3,Tablet,1
Electronics,272.5,0.31,4,1,4.5,Tablet,1
Beauty,972.56,0.22,1,0,4.5,Tablet,0
Home,862.38,0.14,3,3,4.6,Tablet,0
Home,947.36,0.25,2,1,3.5,Tablet,0
Books,16.36,0.35,5,3,2.6,Mobile,1
Home,961.71,0.36,6,3,3.8,Tablet,0
Books,851.43,0.49,2,0,2.5,Mobile,0
Books,414.6,0.47,4,0,3.3,Desktop,0
Clothing,209.37,0.19,5,2,5.0,Desktop,0
Electronics,980.47,0.03,3,1,4.3,Desktop,0
Electronics,349.79,0.2,2,0,3.2,Desktop,0
Clothing,605.62,0.04,2,0,4.0,Tablet,0
Home,20.04,0.48,4,1,4.0,Mobile,1
Books,110.38,0.08,6,1,2.5,Tablet,1
Beauty,939.95,0.11,4,1,4.4,Desktop,1
Books,88.88,0.4,5,2,4.2,Desktop,0
Electronics,819.28,0.03,1,0,2.5,Tablet,0
Books,461.65,0.37,2,2,4.6,Desktop,1
Beauty,933.05,0.27,4,0,3.4,Mobile,0
Books,540.64,0.13,5,1,4.3,Desktop,1
Clothing,651.08,0.47,2,0,2.6,Desktop,0
Home,472.18,0.01,2,0,3.5,Desktop,0
Home,75.14,0.09,4,1,3.3,Tablet,0
Electronics,360.1,0.18,6,2,4.9,Mobile,1
Home,395.77,0.28,4,2,4.4,Mobile,1
Electronics,164.56,0.34,2,0,2.9,Mobile,0
Beauty,517.36,0.08,1,0,4.7,Desktop,1
Beauty,584.23,0.06,2,0,3.2,Desktop,0
Beauty,574.05,0.49,6,1,3.9,Mobile,0
Home,698.14,0.25,4,2,4.2,Desktop,0
Home,777.61,0.31,4,2,4.7,Desktop,0
Electronics,467.73,0.44,1,0,3.8,Mobile,1
Clothing,407.55,0.24,0,0,3.5,Mobile,0
Books,284.48,0.1,0,0,3.7,Tablet,0
Beauty,848.69,0.27,5,0,3.6,Tablet,0
Books,708.1,0.19,1,0,4.8,Desktop,0
Electronics,376.37,0.32,1,0,4.0,Mobile,0
Home,523.47,0.18,2,0,4.3,Tablet,1
Electronics,350.23,0.2,1,0,3.6,Desktop,0
Home,543.94,0.38,3,1,3.0,Mobile,1
Beauty,725.72,0.37,2,0,3.6,Desktop,0
Electronics,267.74,0.47,3,1,3.0,Tablet,1
Home,815.87,0.39,2,1,3.4,Mobile,0
Home,879.79,0.12,1,0,3.3,Desktop,0
Home,439.24,0.33,3,2,4.6,Tablet,0
Books,807.63,0.43,2,0,2.8,Tablet,0
Books,408.98,0.01,1,0,2.5,Desktop,0
Beauty,43.74,0.42,7,2,4.3,Tablet,1
Books,869.07,0.19,4,1,4.7,Desktop,0
Electronics,506.48,0.47,3,2,4.1,Tablet,0
Electronics,650.4,0.14,3,1,3.6,Tablet,0
Clothing,24.05,0.39,7,1,3.9,Desktop,0
Clothing,741.86,0.05,2,0,4.8,Tablet,0
Books,215.18,0.43,3,2,5.0,Mobile,0
Electronics,467.68,0.42,1,0,4.9,Mobile,0
Clothing,938.28,0.04,1,0,3.1,Desktop,0
Clothing,79.45,0.22,3,0,2.9,Tablet,0
Home,236.34,0.06,3,0,4.5,Tablet,0
Clothing,830.17,0.35,2,1,3.3,Tablet,1
Beauty,490.4,0.04,3,1,3.6,Mobile,1
Clothing,668.88,0.39,6,1,3.7,Mobile,1
Beauty,688.6,0.33,2,1,3.5,Desktop,0
Home,951.69,0.09,4,1,3.4,Tablet,1
Beauty,169.48,0.43,5,1,4.5,Tablet,0
Books,340.79,0.36,3,0,3.8,Tablet,0
Beauty,5.65,0.44,4,1,2.7,Desktop,1
Books,44.86,0.15,1,1,3.7,Mobile,0
Home,158.72,0.24,6,0,3.0,Tablet,0
Books,617.05,0.46,2,0,3.9,Mobile,0
Electronics,797.03,0.38,2,1,4.8,Tablet,1
Electronics,612.72,0.1,1,0,3.0,Desktop,0
Home,835.89,0.46,3,0,3.2,Tablet,0
Electronics,335.54,0.15,0,0,4.1,Tablet,0
Books,196.35,0.15,5,1,4.2,Mobile,0
Beauty,990.16,0.16,1,0,3.2,Desktop,0
Electronics,935.81,0.09,2,0,2.9,Tablet,0
Home,449.48,0.25,4,1,4.8,Mobile,1
Books,60.33,0.0,3,2,4.7,Tablet,1
Electronics,442.86,0.36,5,0,4.2,Desktop,0
Beauty,735.21,0.32,3,0,2.5,Tablet,0
Beauty,873.65,0.26,4,1,4.4,Desktop,0
Home,123.12,0.49,1,0,4.3,Tablet,0
Beauty,226.95,0.44,4,2,2.6,Desktop,1
Clothing,55.1,0.03,3,0,3.9,Desktop,0
Electronics,81.06,0.45,2,1,2.9,Desktop,1
Home,841.7,0.11,4,1,4.8,Desktop,0
Clothing,685.45,0.27,0,0,3.7,Desktop,0
Clothing,971.3,0.28,1,0,2.8,Tablet,0
Beauty,694.87,0.32,3,0,3.6,Tablet,0
Electronics,446.89,0.38,3,0,3.9,Desktop,1
Clothing,172.36,0.44,3,2,3.1,Tablet,0
Books,382.72,0.16,1,0,2.6,Mobile,0
Beauty,446.68,0.45,1,1,3.1,Mobile,0
Clothing,844.99,0.24,3,0,3.2,Tablet,0
Beauty,327.72,0.12,4,1,4.0,Mobile,0
Books,997.63,0.1,3,0,4.7,Mobile,0
Electronics,164.42,0.09,3,1,2.8,Mobile,1
Books,604.44,0.08,1,1,4.9,Tablet,1
Clothing,926.83,0.21,1,0,3.5,Mobile,0
Electronics,788.44,0.15,0,0,4.0,Mobile,0
Clothing,66.58,0.27,3,0,2.7,Mobile,0
Electronics,225.67,0.16,1,0,3.0,Desktop,0
Beauty,290.89,0.14,6,2,3.0,Mobile,0
Books,911.25,0.27,3,0,4.6,Desktop,0
Clothing,197.47,0.32,4,1,3.1,Tablet,0
Beauty,674.73,0.41,2,0,4.2,Mobile,0
Home,992.62,0.08,7,2,3.5,Desktop,0
Electronics,503.21,0.32,0,0,3.6,Mobile,1
Home,780.62,0.01,1,1,5.0,Mobile,0
Home,766.54,0.13,2,2,4.2,Mobile,1
Books,678.1,0.3,4,2,3.1,Desktop,1
Home,662.83,0.33,2,0,4.3,Tablet,0
Clothing,187.54,0.3,2,1,4.5,Tablet,0
Electronics,674.48,0.36,5,0,2.6,Mobile,1
Home,602.91,0.17,3,0,3.8,Mobile,0
Electronics,311.35,0.42,4,3,3.3,Tablet,0
Beauty,326.91,0.33,2,0,4.6,Tablet,0
Home,107.92,0.2,3,1,3.4,Tablet,1
Home,957.84,0.28,1,0,3.4,Mobile,0
Books,244.1,0.05,1,0,5.0,Tablet,0
Clothing,70.48,0.45,3,1,4.6,Mobile,0
Electronics,634.23,0.06,7,1,2.6,Desktop,1
Home,797.53,0.12,3,0,3.2,Mobile,0
Books,833.26,0.49,1,0,3.2,Tablet,1
Books,275.43,0.2,4,0,4.7,Tablet,0
Home,996.58,0.35,8,5,4.1,Mobile,0
Clothing,415.22,0.47,1,0,4.9,Desktop,0
Home,342.61,0.25,3,1,3.5,Tablet,0
Electronics,417.75,0.19,3,2,4.9,Desktop,1
Electronics,155.68,0.24,3,0,3.5,Desktop,1
Beauty,212.79,0.03,5,2,2.7,Tablet,0
Electronics,399.33,0.15,1,0,4.0,Mobile,0
Clothing,472.57,0.25,3,1,3.3,Tablet,0
Electronics,326.48,0.49,4,1,5.0,Desktop,0
Electronics,153.4,0.39,3,0,3.9,Mobile,0
Beauty,28.99,0.06,1,0,4.4,Desktop,0
Books,200.9,0.22,2,0,3.0,Tablet,0
Electronics,448.16,0.01,2,0,2.5,Mobile,0
Home,820.51,0.41,4,1,2.5,Tablet,1
Beauty,247.94,0.3,5,1,2.5,Tablet,1
Home,994.61,0.1,1,1,4.4,Desktop,1
Electronics,647.34,0.02,3,0,2.8,Desktop,0
Electronics,170.24,0.03,2,2,2.7,Desktop,0
Electronics,60.14,0.17,4,3,2.6,Desktop,0
Home,240.74,0.05,4,3,2.7,Desktop,0
Books,844.54,0.16,7,1,4.5,Tablet,0
Beauty,805.14,0.43,1,0,3.5,Desktop,0
Beauty,996.54,0.07,2,0,4.9,Mobile,0
Home,991.58,0.1,3,1,4.0,Tablet,0
Home,474.38,0.28,3,1,4.5,Tablet,1
Electronics,746.01,0.21,2,0,3.3,Desktop,0
Electronics,695.55,0.09,3,0,3.3,Desktop,0
Home,474.29,0.05,5,0,4.7,Tablet,0
Clothing,628.83,0.4,2,0,2.9,Tablet,0
Electronics,557.36,0.29,2,0,2.9,Desktop,0
Clothing,286.87,0.2,1,0,4.2,Mobile,0
Electronics,25.04,0.08,8,4,2.6,Desktop,1
Home,5.92,0.45,0,0,3.0,Mobile,0
Clothing,912.17,0.02,5,1,3.4,Mobile,0
Electronics,156.13,0.16,1,1,3.6,Desktop,0
Books,315.63,0.21,3,0,3.0,Mobile,0
Electronics,327.11,0.38,3,2,4.8,Desktop,1
Clothing,320.36,0.4,5,2,4.9,Mobile,1
Electronics,671.01,0.12,2,0,2.5,Tablet,0
Home,684.24,0.12,7,2,4.1,Tablet,1
Books,959.67,0.11,1,1,4.2,Mobile,1
Beauty,579.94,0.15,7,4,2.9,Tablet,0
Clothing,51.96,0.48,3,2,3.2,Mobile,1
Beauty,546.54,0.49,2,1,3.6,Mobile,1
Home,418.78,0.03,4,1,3.5,Desktop,1
Clothing,650.5,0.21,3,0,4.0,Tablet,0
Home,921.09,0.17,1,0,3.0,Mobile,0
Clothing,171.98,0.06,1,1,3.6,Mobile,1
Books,745.31,0.36,3,0,4.4,Mobile,0
Clothing,454.94,0.37,5,2,2.6,Tablet,1
Clothing,564.62,0.14,5,3,3.3,Desktop,1
Books,23.18,0.45,3,1,3.0,Desktop,0
Beauty,420.31,0.19,4,3,2.7,Tablet,0
Electronics,845.09,0.46,3,1,2.6,Mobile,0
Home,176.02,0.24,2,0,3.0,Mobile,0
Books,19.31,0.4,8,1,3.6,Desktop,0
Electronics,647.31,0.08,1,0,3.5,Tablet,0
Home,955.87,0.48,1,0,3.5,Mobile,0
Clothing,764.7,0.05,5,0,4.8,Tablet,0
Clothing,627.31,0.4,1,0,4.1,Tablet,0
Clothing,598.48,0.41,2,0,3.2,Mobile,0
Books,714.1,0.1,3,1,3.0,Desktop,1
Clothing,319.52,0.03,3,0,3.2,Mobile,0
Electronics,11.02,0.24,1,1,2.9,Desktop,1
Books,244.02,0.22,1,1,4.3,Mobile,0
Electronics,375.22,0.38,5,1,3.7,Mobile,0
Clothing,919.61,0.21,4,2,3.9,Mobile,0
Books,436.53,0.42,7,0,3.5,Desktop,0
Beauty,621.11,0.24,2,1,3.7,Mobile,0
Books,967.43,0.36,6,2,2.8,Desktop,1
Home,664.99,0.42,3,1,4.4,Desktop,1
Clothing,937.04,0.26,2,1,4.0,Mobile,0
Books,343.3,0.43,3,1,2.9,Tablet,0
Electronics,637.15,0.1,1,0,3.9,Desktop,0
Books,309.74,0.13,2,1,4.6,Mobile,1
Books,484.86,0.03,4,0,2.8,Desktop,0
Home,668.35,0.31,4,0,4.5,Mobile,0
Home,660.02,0.22,4,1,3.3,Desktop,0
Home,477.4,0.17,1,0,4.4,Tablet,1
Home,520.42,0.31,2,0,2.8,Desktop,1
Electronics,769.9,0.03,2,0,4.6,Mobile,0
Electronics,844.77,0.13,1,0,3.9,Desktop,0
Home,885.38,0.12,5,1,4.6,Desktop,0
Books,205.46,0.13,1,0,2.8,Desktop,0
Home,168.78,0.03,2,0,4.4,Desktop,1
Beauty,535.16,0.43,1,0,4.6,Tablet,0
Beauty,803.03,0.08,3,0,4.6,Tablet,0
Beauty,678.02,0.15,3,1,2.6,Mobile,0
Home,152.22,0.49,1,0,4.4,Tablet,1
Electronics,13.73,0.19,1,0,3.5,Desktop,0
Books,138.03,0.47,5,1,4.3,Mobile,0
Clothing,37.29,0.12,2,0,4.9,Tablet,0
Beauty,976.73,0.19,5,1,4.4,Mobile,0
Home,246.33,0.15,3,1,2.8,Tablet,1
Books,579.33,0.34,0,0,3.3,Tablet,0
Electronics,285.9,0.29,2,1,3.8,Tablet,0
Books,516.92,0.43,4,3,3.2,Desktop,0
Electronics,87.81,0.43,1,0,3.5,Tablet,0
Clothing,827.33,0.28,2,0,3.7,Mobile,0
Home,196.71,0.06,3,0,3.3,Desktop,0
Clothing,459.45,0.16,1,0,3.4,Tablet,0
Electronics,721.85,0.14,1,0,4.4,Mobile,0
